species,PL_V_GP_10_I_1987,PL_V_GP_10_II_1987,PL_V_GP_5_1987,PL_V_GP_10_I_1988,PL_V_GP_10_II_1988,PL_V_GP_5_1988,PL_V_GP_10_I_1989,PL_V_GP_10_II_1989,PL_V_GP_5_1989,PL_V_GP_10_I_1990,PL_V_GP_10_II_1990,PL_V_GP_5_1990,PL_V_GP_10_I_1991,PL_V_GP_10_II_1991,PL_V_GP_5_1991,PL_V_GP_10_I_1992,PL_V_GP_10_II_1992,PL_V_GP_5_1992,PL_V_GP_10_I_1993,PL_V_GP_10_II_1993,PL_V_GP_5_1993,PL_V_GP_10_I_1994,PL_V_GP_10_II_1994,PL_V_GP_5_1994,PL_V_GP_10_I_1995,PL_V_GP_10_II_1995,PL_V_GP_5_1995,PL_V_GP_10_I_1996,PL_V_GP_10_II_1996,PL_V_GP_5_1996,PL_V_GP_10_I_1997,PL_V_GP_10_II_1997,PL_V_GP_5_1997,PL_V_GP_10_I_1998,PL_V_GP_10_II_1998,PL_V_GP_5_1998,PL_V_GP_10_I_1999,PL_V_GP_10_II_1999,PL_V_GP_5_1999,PL_V_GP_10_I_2000,PL_V_GP_10_II_2000,PL_V_GP_5_2000,PL_V_GP_10_I_2001,PL_V_GP_10_II_2001,PL_V_GP_5_2001,PL_V_GP_10_I_2002,PL_V_GP_10_II_2002,PL_V_GP_5_2002,PL_V_GP_10_I_2003,PL_V_GP_10_II_2003,PL_V_GP_5_2003,PL_V_GP_10_I_2004,PL_V_GP_10_II_2004,PL_V_GP_5_2004,PL_V_GP_10_I_2005,PL_V_GP_10_II_2005,PL_V_GP_5_2005,PL_V_GP_10_I_2006,PL_V_GP_10_II_2006,PL_V_GP_5_2006,PL_V_GP_10_I_2007,PL_V_GP_10_II_2007,PL_V_GP_5_2007,PL_V_GP_10_I_2008,PL_V_GP_10_II_2008,PL_V_GP_5_2008,PL_V_GP_10_I_2009,PL_V_GP_10_II_2009,PL_V_GP_5_2009,PL_V_GP_10_I_2010,PL_V_GP_10_II_2010,PL_V_GP_5_2010,PL_V_GP_10_I_2011,PL_V_GP_10_II_2011,PL_V_GP_5_2011,PL_V_GP_10_I_2012,PL_V_GP_10_II_2012,PL_V_GP_5_2012,PL_V_GP_10_I_2013,PL_V_GP_10_II_2013,PL_V_GP_5_2013,PL_V_GP_10_I_2014,PL_V_GP_10_II_2014,PL_V_GP_5_2014,PL_V_GP_10_I_2015,PL_V_GP_10_II_2015,PL_V_GP_5_2015,PL_V_GP_10_I_2016,PL_V_GP_10_II_2016,PL_V_GP_5_2016,PL_V_GP_10_I_2017,PL_V_GP_10_II_2017,PL_V_GP_5_2017,PL_V_GP_10_I_2018,PL_V_GP_10_II_2018,PL_V_GP_5_2018,PL_V_GP_10_I_2019,PL_V_GP_10_II_2019,PL_V_GP_5_2019
.Agrostis vinealis Schreb.,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,7,0,0,0,0,0,7,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,6,0,0,2,0,0,15,0,0,30,2,0,5,0,0,7,2,0,19,13,0,12,2,0,3,0,0,5,3,0,0,0,0,0,3,975
.Ajuga orientalis L.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,2,0,0,2,0,0,1,0,0,3,0,0,2,0,0,2,0,0
.Alchemilla vulgaris L. aggr.,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,3,0,0,5,0,0,2,0,0,6,0,0,1,0,0,1,0,5,0,0,0,0,0
.Anemone speciosa Adam ex G.Pritz,0,3,1,0,2,6,0,2,1,0,4,2,0,6,3,0,9,3,0,13,5,0,11,3,0,13,5,0,2,2,0,6,6,0,4,7,0,3,5,0,7,5,0,0,3,0,4,7,0,4,4,0,6,7,0,8,11,0,0,14,0,3,7,0,0,8,0,2,7,0,3,4,0,0,4,0,4,4,0,1,6,0,0,3,0,1,4,0,6,0,0,1,0,0,0,0,0,3,0
.Antennaria dioica (L.) Gaertn.,0,0,0,0,0,0,0,9,7,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,5,0,0,0,3,0,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,2,1,0,0,1,0,2,0,0,0,0,0,12,0,0,0,0,0,4,0
.Anthemis cretica L. ssp. iberica (Bieb.) Grier.,16,12,5,6,9,2,14,10,0,12,18,8,8,10,5,19,11,12,25,27,6,11,10,0,9,6,3,0,5,4,23,20,7,22,22,23,3,1,0,8,25,17,5,1,0,23,44,7,22,14,6,67,10,6,34,32,25,16,17,15,29,18,12,17,6,8,14,32,14,37,43,36,26,13,14,1,9,0,13,38,6,1,19,18,3,24,3,4,7,4,4,17,1,11,16,7,1,23,3
.Anthoxanthum odoratum L.,66,40,26,32,32,19,72,94,41,68,185,48,102,231,71,11,50,26,81,149,35,100,58,33,79,50,21,61,21,14,144,59,16,225,119,33,29,4,1,87,19,8,90,14,7,82,34,9,45,39,6,66,56,10,67,68,14,62,47,4,99,52,12,188,120,25,299,188,39,531,373,59,1008,803,219,269,269,71,419,422,99,213,254,65,471,390,179,168,21,11,207,90,48,87,21,14,64,60,16
.Arenaria lychnidea Bieb.,10,0,23,0,0,0,11,0,9,0,0,7,0,0,5,3,0,7,8,0,11,0,0,10,4,0,17,0,0,13,1,0,18,6,0,10,2,0,12,3,0,14,0,0,0,3,0,23,2,0,6,5,0,17,0,0,0,19,0,11,7,0,1,28,0,19,15,0,37,0,0,9,13,0,27,3,0,4,0,0,15,0,0,13,0,0,8,0,0,3,0,2,8,0,0,0,0,0,0
.Aster alpinus L.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Botrychium lunaria (L.) Sw.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
