species,PL_N_GP_10_I_1987,PL_N_GP_10_II_1987,PL_N_GP_5_1987,PL_N_GP_10_I_1988,PL_N_GP_10_II_1988,PL_N_GP_5_1988,PL_N_GP_10_I_1989,PL_N_GP_10_II_1989,PL_N_GP_5_1989,PL_N_GP_10_I_1990,PL_N_GP_10_II_1990,PL_N_GP_5_1990,PL_N_GP_10_I_1991,PL_N_GP_10_II_1991,PL_N_GP_5_1991,PL_N_GP_10_I_1992,PL_N_GP_10_II_1992,PL_N_GP_5_1992,PL_N_GP_10_I_1993,PL_N_GP_10_II_1993,PL_N_GP_5_1993,PL_N_GP_10_I_1994,PL_N_GP_10_II_1994,PL_N_GP_5_1994,PL_N_GP_10_I_1995,PL_N_GP_10_II_1995,PL_N_GP_5_1995,PL_N_GP_10_I_1996,PL_N_GP_10_II_1996,PL_N_GP_5_1996,PL_N_GP_10_I_1997,PL_N_GP_10_II_1997,PL_N_GP_5_1997,PL_N_GP_10_I_1998,PL_N_GP_10_II_1998,PL_N_GP_5_1998,PL_N_GP_10_I_1999,PL_N_GP_10_II_1999,PL_N_GP_5_1999,PL_N_GP_10_I_2000,PL_N_GP_10_II_2000,PL_N_GP_5_2000,PL_N_GP_10_I_2001,PL_N_GP_10_II_2001,PL_N_GP_5_2001,PL_N_GP_10_I_2002,PL_N_GP_10_II_2002,PL_N_GP_5_2002,PL_N_GP_10_I_2003,PL_N_GP_10_II_2003,PL_N_GP_5_2003,PL_N_GP_10_I_2004,PL_N_GP_10_II_2004,PL_N_GP_5_2004,PL_N_GP_10_I_2005,PL_N_GP_10_II_2005,PL_N_GP_5_2005,PL_N_GP_10_I_2006,PL_N_GP_10_II_2006,PL_N_GP_5_2006,PL_N_GP_10_I_2007,PL_N_GP_10_II_2007,PL_N_GP_5_2007,PL_N_GP_10_I_2008,PL_N_GP_10_II_2008,PL_N_GP_5_2008,PL_N_GP_10_I_2009,PL_N_GP_10_II_2009,PL_N_GP_5_2009,PL_N_GP_10_I_2010,PL_N_GP_10_II_2010,PL_N_GP_5_2010,PL_N_GP_10_I_2011,PL_N_GP_10_II_2011,PL_N_GP_5_2011,PL_N_GP_10_I_2012,PL_N_GP_10_II_2012,PL_N_GP_5_2012,PL_N_GP_10_I_2013,PL_N_GP_10_II_2013,PL_N_GP_5_2013,PL_N_GP_10_I_2014,PL_N_GP_10_II_2014,PL_N_GP_5_2014,PL_N_GP_10_I_2015,PL_N_GP_10_II_2015,PL_N_GP_5_2015,PL_N_GP_10_I_2016,PL_N_GP_10_II_2016,PL_N_GP_5_2016,PL_N_GP_10_I_2017,PL_N_GP_10_II_2017,PL_N_GP_5_2017,PL_N_GP_10_I_2018,PL_N_GP_10_II_2018,PL_N_GP_5_2018,PL_N_GP_10_I_2019,PL_N_GP_10_II_2019,PL_N_GP_5_2019
.Agrostis vinealis Schreb.,0,0,0,8,0,0,23,1,0,0,0,0,20,9,0,18,2,0,0,0,0,50,19,0,31,15,0,2,12,0,14,17,0,7,3,0,27,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,13,5,0,3,37,0,1,11,0,27,36,0,70,53,0,27,62,0,65,57,0,56,51,0,117,50,0,7,5,0,46,43,0,0,0,0,1,3,0
.Ajuga orientalis L.,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,5,0,0,4,0,0,4,0,0,5,0,0,3,0,0,21,0,0,3,0,0,1,0,0,1,0,0,2,0,0,3,0,0,1,0,0,1,0,0,1,0,0,4,0
.Alchemilla vulgaris L. aggr.,0,1,0,0,0,0,0,4,0,0,11,6,1,11,8,0,2,0,0,3,0,3,13,15,1,14,14,1,8,24,7,2,27,3,0,11,1,1,0,0,0,10,1,0,9,3,0,7,4,1,9,1,0,20,16,2,2,9,0,7,13,3,2,10,4,1,29,7,1,5,3,0,26,0,6,5,5,3,15,2,3,12,2,8,6,5,7,4,1,1,5,0,6,0,1,0,7,4,8
.Anemone speciosa Adam ex G.Pritz,0,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,3,2,0,0,1,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,3,0,0,2,0,0,3,0,1,1,0,0,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
.Antennaria dioica (L.) Gaertn.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
.Anthemis cretica L. ssp. iberica (Bieb.) Grier.,0,9,0,0,19,1,0,9,0,0,20,1,0,3,1,0,1,1,0,3,9,0,7,1,0,2,0,0,1,1,0,0,4,0,8,12,0,0,4,0,5,1,0,3,1,0,14,7,0,13,11,0,5,4,0,27,2,0,7,7,0,30,4,0,6,6,0,19,8,0,22,17,0,1,6,0,0,1,0,5,5,0,0,3,0,0,1,0,0,0,0,0,1,0,2,7,0,1,6
.Anthoxanthum odoratum L.,17,62,33,51,71,16,59,117,23,62,75,44,43,86,61,12,17,9,32,67,35,137,235,38,53,0,18,21,42,9,78,65,85,119,172,28,6,2,4,17,32,6,11,48,12,30,57,18,18,30,18,16,35,38,34,69,23,40,45,14,64,11,21,88,145,44,106,191,83,82,81,106,251,198,212,135,187,72,216,157,75,99,71,28,191,175,77,36,28,26,41,57,75,37,28,8,17,0,4
.Arenaria lychnidea Bieb.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Aster alpinus L.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Botrychium lunaria (L.) Sw.,1,3,0,0,3,0,1,17,0,0,2,0,0,3,0,0,4,0,1,2,0,5,26,0,1,26,0,4,20,0,6,10,0,1,1,0,0,12,0,14,5,0,1,1,0,0,0,0,0,14,0,4,25,0,3,25,0,2,9,0,4,5,0,3,9,0,6,3,0,2,2,0,8,0,0,21,1,0,15,3,0,4,2,0,2,3,0,7,3,0,3,2,0,0,0,0,15,9,0
